Entity,Code,Year,Nuclear (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% equivalent primary energy)
Africa,,1965,0,5.7402806,94.25972
Africa,,1966,0,6.1139693,93.88603
Africa,,1967,0,6.31658,93.68342
Africa,,1968,0,6.994846,93.00516
Africa,,1969,0,7.943917,92.05608
Africa,,1970,0,9.148896,90.851105
Africa,,1971,0,8.124995,91.87501
Africa,,1972,0,8.7472725,91.25273
Africa,,1973,0,8.54162,91.45838
Africa,,1974,0,9.252387,90.74761
Africa,,1975,0,9.228769,90.77123
Africa,,1976,0,9.41638,90.58362
Africa,,1977,0,9.803096,90.19691
Africa,,1978,0,9.518462,90.48154
Africa,,1979,0,9.349526,90.650475
Africa,,1980,0,8.481443,91.518555
Africa,,1981,0,7.8527517,92.14725
Africa,,1982,0,7.3734274,92.62657
Africa,,1983,0,6.456112,93.543884
Africa,,1984,0.5184268,6.158578,93.323
Africa,,1985,0.67463315,6.579343,92.746025
Africa,,1986,1.0949439,6.7159667,92.18909
Africa,,1987,0.7431199,6.2439623,93.01292
Africa,,1988,1.1812614,6.3621163,92.45662
Africa,,1989,1.2475648,6.665461,92.086975
Africa,,1990,0.9192495,6.585771,92.49498
Africa,,1991,0.9959717,6.981014,92.02302
Africa,,1992,0.9966354,6.5694675,92.4339
Africa,,1993,0.7763486,6.4317904,92.79186
Africa,,1994,1.0038406,6.309245,92.68691
Africa,,1995,1.1244212,6.3062434,92.569336
Africa,,1996,1.1424626,6.4332547,92.424286
Africa,,1997,1.2016066,6.465726,92.332664
Africa,,1998,1.2725084,6.67616,92.05133
Africa,,1999,1.1653123,6.8586307,91.97606
Africa,,2000,1.1550504,7.202939,91.64201
Africa,,2001,0.91279966,7.436237,91.65096
Africa,,2002,1.0015824,7.6719437,91.32648
Africa,,2003,1.0024844,7.105202,91.89231
Africa,,2004,0.9791055,6.980063,92.04083
Africa,,2005,0.8196868,7.0285006,92.15181
Africa,,2006,0.7095054,7.1611776,92.12932
Africa,,2007,0.7664567,7.0572457,92.1763
Africa,,2008,0.825949,6.7617874,92.41226
Africa,,2009,0.7948426,6.81071,92.39445
Africa,,2010,0.80886036,7.12904,92.0621
Africa,,2011,0.76023066,7.2594023,91.98037
Africa,,2012,0.7299577,6.9972477,92.2728
Africa,,2013,0.76741195,7.189636,92.04295
Africa,,2014,0.7259775,7.5156765,91.75835
Africa,,2015,0.62680084,7.5275054,91.845695
Africa,,2016,0.74426967,7.4042726,91.851456
Africa,,2017,0.6762784,7.641947,91.68178
Africa,,2018,0.53535604,8.005553,91.45909
Africa,,2019,0.59748846,8.356322,91.04619
Africa,,2020,0.46930024,9.415897,90.1148
Africa,,2021,0.5381136,9.152215,90.30967
Africa,,2022,0.4341817,9.298186,90.26763
Africa,,2023,0.38280416,9.826172,89.79102
Africa (EI),,1965,0,5.740281,94.25972
Africa (EI),,1966,0,6.1139693,93.88603
Africa (EI),,1967,0,6.31658,93.68342
Africa (EI),,1968,0,6.994846,93.00516
Africa (EI),,1969,0,7.9439173,92.05608
Africa (EI),,1970,0,9.148897,90.851105
Africa (EI),,1971,0,8.124995,91.87501
Africa (EI),,1972,0,8.7472725,91.25273
Africa (EI),,1973,0,8.541621,91.45838
Africa (EI),,1974,0,9.252387,90.74761
Africa (EI),,1975,0,9.228769,90.77123
Africa (EI),,1976,0,9.41638,90.58362
Africa (EI),,1977,0,9.803096,90.19691
Africa (EI),,1978,0,9.518462,90.48154
Africa (EI),,1979,0,9.349526,90.650475
Africa (EI),,1980,0,8.481443,91.518555
Africa (EI),,1981,0,7.8527527,92.14725
Africa (EI),,1982,0,7.373428,92.62657
Africa (EI),,1983,0,6.456112,93.543884
Africa (EI),,1984,0.5184268,6.1585784,93.323
Africa (EI),,1985,0.6746332,6.579343,92.746025
Africa (EI),,1986,1.0949439,6.715967,92.18909
Africa (EI),,1987,0.74311984,6.243963,93.01292
Africa (EI),,1988,1.1812614,6.362117,92.45662
Africa (EI),,1989,1.2475647,6.6654606,92.086975
Africa (EI),,1990,0.9192495,6.585771,92.49498
Africa (EI),,1991,0.99597174,6.9810143,92.02301
Africa (EI),,1992,0.9966354,6.5694675,92.4339
Africa (EI),,1993,0.77634853,6.43179,92.79186
Africa (EI),,1994,1.0038404,6.309245,92.68691
Africa (EI),,1995,1.1244212,6.3062434,92.569336
Africa (EI),,1996,1.1424626,6.4332547,92.424286
Africa (EI),,1997,1.2016066,6.4657254,92.332664
Africa (EI),,1998,1.2725084,6.67616,92.05133
Africa (EI),,1999,1.1653123,6.85863,91.97606
Africa (EI),,2000,1.1550504,7.202939,91.64201
Africa (EI),,2001,0.9127996,7.4362364,91.65096
Africa (EI),,2002,1.0015824,7.6719437,91.32648
Africa (EI),,2003,1.0024844,7.1052027,91.89231
Africa (EI),,2004,0.9791054,6.980063,92.04083
Africa (EI),,2005,0.8196868,7.028501,92.15181
Africa (EI),,2006,0.7095054,7.1611776,92.12932
Africa (EI),,2007,0.7664567,7.0572453,92.1763
Africa (EI),,2008,0.825949,6.7617874,92.41226
Africa (EI),,2009,0.7948426,6.81071,92.39445
Africa (EI),,2010,0.80886036,7.12904,92.0621
Africa (EI),,2011,0.76023066,7.259402,91.98037
Africa (EI),,2012,0.72995776,6.9972477,92.2728
Africa (EI),,2013,0.7674119,7.189636,92.04295
Africa (EI),,2014,0.7259775,7.5156765,91.75835
Africa (EI),,2015,0.6268009,7.527506,91.845695
Africa (EI),,2016,0.7442697,7.404273,91.851456
Africa (EI),,2017,0.6762784,7.6419473,91.68178
Africa (EI),,2018,0.53535604,8.005554,91.45909
Africa (EI),,2019,0.59748846,8.356322,91.04619
Africa (EI),,2020,0.46930024,9.415897,90.1148
Africa (EI),,2021,0.5381136,9.152214,90.30967
Africa (EI),,2022,0.43418166,9.298186,90.26763
Africa (EI),,2023,0.38280413,9.826171,89.79102
Algeria,DZA,1965,0,4.763068,95.23693
Algeria,DZA,1966,0,3.518747,96.481255
Algeria,DZA,1967,0,4.2919536,95.708046
Algeria,DZA,1968,0,5.4861946,94.5138
Algeria,DZA,1969,0,3.1827633,96.81724
Algeria,DZA,1970,0,4.6656837,95.33432
Algeria,DZA,1971,0,2.4559186,97.54408
Algeria,DZA,1972,0,3.2783432,96.72166
Algeria,DZA,1973,0,4.175826,95.82417
Algeria,DZA,1974,0,2.4947383,97.505264
Algeria,DZA,1975,0,1.3782818,98.62172
Algeria,DZA,1976,0,1.4010223,98.598976
Algeria,DZA,1977,0,0.8817282,99.11827
Algeria,DZA,1978,0,0.6521151,99.347885
Algeria,DZA,1979,0,0.5792936,99.42071
Algeria,DZA,1980,0,0.42900163,99.571
Algeria,DZA,1981,0,0.50294036,99.49706
Algeria,DZA,1982,0,0.57087004,99.42913
Algeria,DZA,1983,0,0.25644943,99.74355
Algeria,DZA,1984,0,0.5136736,99.48633
Algeria,DZA,1985,0,0.72826535,99.271736
